key,component,file,line,message,severity,type,status
16f782d8-5dee-4f4e-a5e8-342465ede45d,ditto:things/model/src/test/java/org/eclipse/ditto/things/model/devops/commands/RetrieveAllDynamicConfigSectionsResponseTest.java,things/model/src/test/java/org/eclipse/ditto/things/model/devops/commands/RetrieveAllDynamicConfigSectionsResponseTest.java,28,"Define a constant instead of duplicating this literal ""scope-id"" 3 times.",CRITICAL,CODE_SMELL,OPEN
7a424b0d-a90e-49aa-a5c7-c8c274dfdb9a,ditto:things/model/src/test/java/org/eclipse/ditto/things/model/devops/commands/RetrieveAllDynamicConfigSectionsResponseTest.java,things/model/src/test/java/org/eclipse/ditto/things/model/devops/commands/RetrieveAllDynamicConfigSectionsResponseTest.java,28,"Define a constant instead of duplicating this literal ""scope1"" 3 times.",CRITICAL,CODE_SMELL,OPEN
edc137cf-e9d9-4095-b99c-f94c20ae0f33,ditto:things/service/src/test/java/org/eclipse/ditto/things/service/persistence/actors/WotValidationConfigPersistenceActorTest.java,things/service/src/test/java/org/eclipse/ditto/things/service/persistence/actors/WotValidationConfigPersistenceActorTest.java,309,Use another way to initialize this instance.,MINOR,BUG,OPEN
4c41c283-e521-4fbc-9c25-0db23e612df5,ditto:things/service/src/test/java/org/eclipse/ditto/things/service/persistence/actors/strategies/commands/RetrieveDynamicConfigSectionStrategyTest.java,things/service/src/test/java/org/eclipse/ditto/things/service/persistence/actors/strategies/commands/RetrieveDynamicConfigSectionStrategyTest.java,91,"Define a constant instead of duplicating this literal ""scope1"" 3 times.",CRITICAL,CODE_SMELL,OPEN
7fc9601a-59bf-4753-ae2b-c31b1398fa08,ditto:wot/api/src/main/java/org/eclipse/ditto/wot/api/config/DefaultTmValidationConfig.java,wot/api/src/main/java/org/eclipse/ditto/wot/api/config/DefaultTmValidationConfig.java,210,"Rename ""enabled"" which hides the field declared at line 54.",MAJOR,CODE_SMELL,OPEN
5b783230-99b9-48f3-b373-bfb778c09a3a,ditto:things/service/src/main/java/org/eclipse/ditto/things/service/persistence/actors/strategies/commands/RetrieveWotValidationConfigStrategy.java,things/service/src/main/java/org/eclipse/ditto/things/service/persistence/actors/strategies/commands/RetrieveWotValidationConfigStrategy.java,96,"Remove this useless assignment to local variable ""headersWithRevisionAndEtag"".",MAJOR,CODE_SMELL,OPEN
d8b6069e-e1c6-4acc-a53b-0a218c321841,ditto:things/model/src/test/java/org/eclipse/ditto/things/model/devops/commands/RetrieveDynamicConfigSectionResponseTest.java,things/model/src/test/java/org/eclipse/ditto/things/model/devops/commands/RetrieveDynamicConfigSectionResponseTest.java,30,"Define a constant instead of duplicating this literal ""ns:test"" 3 times.",CRITICAL,CODE_SMELL,OPEN
2b6d7bfb-22b1-40e6-99c8-9ddc5e8f45af,ditto:things/model/src/test/java/org/eclipse/ditto/things/model/devops/commands/RetrieveDynamicConfigSectionResponseTest.java,things/model/src/test/java/org/eclipse/ditto/things/model/devops/commands/RetrieveDynamicConfigSectionResponseTest.java,31,"Define a constant instead of duplicating this literal ""enabled"" 3 times.",CRITICAL,CODE_SMELL,OPEN
ed965b92-473d-4efe-86b7-a5687efe833e,ditto:things/service/src/test/java/org/eclipse/ditto/things/service/persistence/actors/strategies/commands/MigrateThingDefinitionStrategyTest.java,things/service/src/test/java/org/eclipse/ditto/things/service/persistence/actors/strategies/commands/MigrateThingDefinitionStrategyTest.java,96,Define and throw a dedicated exception instead of using a generic one.,MAJOR,CODE_SMELL,OPEN
e49b5349-1874-49d7-80f9-fd8ebcdea33b,ditto:things/service/src/test/java/org/eclipse/ditto/things/service/persistence/actors/strategies/commands/MigrateThingDefinitionStrategyTest.java,things/service/src/test/java/org/eclipse/ditto/things/service/persistence/actors/strategies/commands/MigrateThingDefinitionStrategyTest.java,102,This accessibility bypass should be removed.,MAJOR,CODE_SMELL,OPEN
a78ca48f-8dc7-4946-964c-fce3b71d36bb,ditto:gateway/service/src/main/java/org/eclipse/ditto/gateway/service/endpoints/routes/devops/DevOpsRoute.java,gateway/service/src/main/java/org/eclipse/ditto/gateway/service/endpoints/routes/devops/DevOpsRoute.java,168,This block of commented-out lines of code should be removed.,MAJOR,CODE_SMELL,OPEN
99c616e5-3a72-459a-bbdb-e84ae6c88a69,ditto:gateway/service/src/main/java/org/eclipse/ditto/gateway/service/endpoints/routes/devops/DevOpsRoute.java,gateway/service/src/main/java/org/eclipse/ditto/gateway/service/endpoints/routes/devops/DevOpsRoute.java,170,This block of commented-out lines of code should be removed.,MAJOR,CODE_SMELL,OPEN
9cc99013-e950-4e75-9676-1478427ed093,ditto:things/model/src/main/java/org/eclipse/ditto/things/model/devops/ImmutableFeatureValidationEnforceConfig.java,things/model/src/main/java/org/eclipse/ditto/things/model/devops/ImmutableFeatureValidationEnforceConfig.java,55,"Rename field ""properties"" to prevent any misunderstanding/clash with field ""PROPERTIES"".",BLOCKER,CODE_SMELL,OPEN
01528094-7fcc-40d3-b826-6417822628e8,ditto:things/model/src/main/java/org/eclipse/ditto/things/model/devops/ImmutableThingValidationEnforceConfig.java,things/model/src/main/java/org/eclipse/ditto/things/model/devops/ImmutableThingValidationEnforceConfig.java,52,"Rename field ""attributes"" to prevent any misunderstanding/clash with field ""ATTRIBUTES"".",BLOCKER,CODE_SMELL,OPEN
5346f53d-7ca8-4dc7-a393-0efd3df99901,ditto:things/model/src/main/java/org/eclipse/ditto/things/model/devops/ImmutableWotValidationConfig.java,things/model/src/main/java/org/eclipse/ditto/things/model/devops/ImmutableWotValidationConfig.java,118,"Method has 11 parameters, which is greater than 7 authorized.",MAJOR,CODE_SMELL,OPEN
b0abc011-a642-4507-97b8-db621cfdc1fe,ditto:things/model/src/main/java/org/eclipse/ditto/things/model/devops/ImmutableWotValidationConfig.java,things/model/src/main/java/org/eclipse/ditto/things/model/devops/ImmutableWotValidationConfig.java,326,"Rename ""revision"" which hides the field declared at line 70.",MAJOR,CODE_SMELL,OPEN
129ac5f5-b15f-400d-a829-7dc240841dc1,ditto:things/model/src/main/java/org/eclipse/ditto/things/model/devops/ImmutableWotValidationConfig.java,things/model/src/main/java/org/eclipse/ditto/things/model/devops/ImmutableWotValidationConfig.java,327,"Rename ""created"" which hides the field declared at line 72.",MAJOR,CODE_SMELL,OPEN
76e411ef-9fff-462f-b535-253d6b3fc9e8,ditto:things/model/src/main/java/org/eclipse/ditto/things/model/devops/ImmutableWotValidationConfig.java,things/model/src/main/java/org/eclipse/ditto/things/model/devops/ImmutableWotValidationConfig.java,328,"Rename ""modified"" which hides the field declared at line 71.",MAJOR,CODE_SMELL,OPEN
e16dfac7-4c24-4348-99a8-8f061c6cdae5,ditto:things/model/src/main/java/org/eclipse/ditto/things/model/devops/ImmutableWotValidationConfig.java,things/model/src/main/java/org/eclipse/ditto/things/model/devops/ImmutableWotValidationConfig.java,332,"Rename ""metadata"" which hides the field declared at line 74.",MAJOR,CODE_SMELL,OPEN
f43a5839-018e-43e9-b55f-edd98a7bdd55,ditto:things/model/src/main/java/org/eclipse/ditto/things/model/devops/WotValidationConfig.java,things/model/src/main/java/org/eclipse/ditto/things/model/devops/WotValidationConfig.java,149,"Method has 11 parameters, which is greater than 7 authorized.",MAJOR,CODE_SMELL,OPEN
b91ddfb3-fc6d-473a-a8ea-e382b4381425,ditto:things/model/src/main/java/org/eclipse/ditto/things/model/devops/commands/RetrieveMergedWotValidationConfigResponse.java,things/model/src/main/java/org/eclipse/ditto/things/model/devops/commands/RetrieveMergedWotValidationConfigResponse.java,86,"Rename ""config"" which hides the field declared at line 91.",MAJOR,CODE_SMELL,OPEN
ae50d351-0bf9-4307-9f40-e4e2b90ce61e,ditto:things/model/src/main/java/org/eclipse/ditto/things/model/devops/events/WotValidationConfigCreated.java,things/model/src/main/java/org/eclipse/ditto/things/model/devops/events/WotValidationConfigCreated.java,135,"Rename ""config"" which hides the field declared at line 59.",MAJOR,CODE_SMELL,OPEN
d45648af-b230-4e17-8352-1df899fd5f3f,ditto:things/model/src/main/java/org/eclipse/ditto/things/model/devops/events/WotValidationConfigModified.java,things/model/src/main/java/org/eclipse/ditto/things/model/devops/events/WotValidationConfigModified.java,143,"Rename ""config"" which hides the field declared at line 55.",MAJOR,CODE_SMELL,OPEN
738036db-9e1e-4529-a228-3b62fb778fe5,ditto:things/model/src/main/java/org/eclipse/ditto/things/model/devops/exceptions/WotValidationConfigException.java,things/model/src/main/java/org/eclipse/ditto/things/model/devops/exceptions/WotValidationConfigException.java,19,Move constants defined in this interfaces to another class or enum.,CRITICAL,CODE_SMELL,OPEN
73eeb2bc-b6de-48b4-a493-a8b092c37413,ditto:things/model/src/test/java/org/eclipse/ditto/things/model/devops/ImmutableDynamicValidationConfigTest.java,things/model/src/test/java/org/eclipse/ditto/things/model/devops/ImmutableDynamicValidationConfigTest.java,36,"Define a constant instead of duplicating this literal ""scope1"" 7 times.",CRITICAL,CODE_SMELL,OPEN
342c80e9-854c-4d80-a6fe-7c4e3b5de70e,ditto:things/model/src/test/java/org/eclipse/ditto/things/model/devops/ImmutableWotValidationConfigTest.java,things/model/src/test/java/org/eclipse/ditto/things/model/devops/ImmutableWotValidationConfigTest.java,40,"Define a constant instead of duplicating this literal ""test:config"" 5 times.",CRITICAL,CODE_SMELL,OPEN
1896b892-be57-4286-8874-ea8d4cd14fc3,ditto:things/model/src/test/java/org/eclipse/ditto/things/model/devops/ImmutableWotValidationConfigTest.java,things/model/src/test/java/org/eclipse/ditto/things/model/devops/ImmutableWotValidationConfigTest.java,67,"Remove this useless assignment to local variable ""scopeId"".",MAJOR,CODE_SMELL,OPEN
b81eb4b2-5fe7-4d8c-b353-79ea79b8feac,ditto:things/model/src/test/java/org/eclipse/ditto/things/model/devops/ImmutableWotValidationConfigTest.java,things/model/src/test/java/org/eclipse/ditto/things/model/devops/ImmutableWotValidationConfigTest.java,67,"Remove this unused ""scopeId"" local variable.",MINOR,CODE_SMELL,OPEN
b5a17e91-af00-4532-ad3c-42ae93d719c3,ditto:things/model/src/test/java/org/eclipse/ditto/things/model/devops/ImmutableWotValidationConfigTest.java,things/model/src/test/java/org/eclipse/ditto/things/model/devops/ImmutableWotValidationConfigTest.java,119,"Define a constant instead of duplicating this literal ""scope1"" 3 times.",CRITICAL,CODE_SMELL,OPEN
3a7a4b30-cae5-4895-af3a-1fcd3a24b00b,ditto:things/model/src/test/java/org/eclipse/ditto/things/model/devops/ImmutableWotValidationConfigTest.java,things/model/src/test/java/org/eclipse/ditto/things/model/devops/ImmutableWotValidationConfigTest.java,163,"Define a constant instead of duplicating this literal ""ditto:global"" 4 times.",CRITICAL,CODE_SMELL,OPEN
ec06b76c-53cd-42af-97fa-afd6e0ad2b25,ditto:things/model/src/test/java/org/eclipse/ditto/things/model/devops/commands/CreateWotValidationConfigResponseTest.java,things/model/src/test/java/org/eclipse/ditto/things/model/devops/commands/CreateWotValidationConfigResponseTest.java,27,"Define a constant instead of duplicating this literal ""ns:test"" 3 times.",CRITICAL,CODE_SMELL,OPEN
f3277d3d-9f1e-44e8-b363-465336697583,ditto:things/model/src/test/java/org/eclipse/ditto/things/model/devops/commands/CreateWotValidationConfigResponseTest.java,things/model/src/test/java/org/eclipse/ditto/things/model/devops/commands/CreateWotValidationConfigResponseTest.java,28,"Define a constant instead of duplicating this literal ""enabled"" 3 times.",CRITICAL,CODE_SMELL,OPEN
9e89a48c-fd10-44d4-a214-2a90943cc5aa,ditto:things/model/src/test/java/org/eclipse/ditto/things/model/devops/commands/CreateWotValidationConfigTest.java,things/model/src/test/java/org/eclipse/ditto/things/model/devops/commands/CreateWotValidationConfigTest.java,34,"Define a constant instead of duplicating this literal ""ns:test-id"" 4 times.",CRITICAL,CODE_SMELL,OPEN
1ece29b0-6da4-480d-9a41-6a98cdcfb73a,ditto:things/model/src/test/java/org/eclipse/ditto/things/model/devops/commands/DeleteDynamicConfigSectionTest.java,things/model/src/test/java/org/eclipse/ditto/things/model/devops/commands/DeleteDynamicConfigSectionTest.java,29,"Define a constant instead of duplicating this literal ""ns:test-id"" 4 times.",CRITICAL,CODE_SMELL,OPEN
11e297be-daa9-4dfb-9a31-59bdd9dea4ab,ditto:things/model/src/test/java/org/eclipse/ditto/things/model/devops/commands/DeleteDynamicConfigSectionTest.java,things/model/src/test/java/org/eclipse/ditto/things/model/devops/commands/DeleteDynamicConfigSectionTest.java,30,"Define a constant instead of duplicating this literal ""scope1"" 4 times.",CRITICAL,CODE_SMELL,OPEN
531a40fa-4900-4f2f-8262-c7dc59648e2d,ditto:things/model/src/test/java/org/eclipse/ditto/things/model/devops/commands/DeleteWotValidationConfigTest.java,things/model/src/test/java/org/eclipse/ditto/things/model/devops/commands/DeleteWotValidationConfigTest.java,28,"Define a constant instead of duplicating this literal ""ns:test-id"" 4 times.",CRITICAL,CODE_SMELL,OPEN
5f154294-3fcb-4b6c-9dbc-47365aefe9ad,ditto:things/model/src/test/java/org/eclipse/ditto/things/model/devops/commands/MergeDynamicConfigSectionTest.java,things/model/src/test/java/org/eclipse/ditto/things/model/devops/commands/MergeDynamicConfigSectionTest.java,30,"Define a constant instead of duplicating this literal ""ns:test-id"" 3 times.",CRITICAL,CODE_SMELL,OPEN
8bcf410f-b165-4012-85ec-cbe158a06772,ditto:things/model/src/test/java/org/eclipse/ditto/things/model/devops/commands/MergeDynamicConfigSectionTest.java,things/model/src/test/java/org/eclipse/ditto/things/model/devops/commands/MergeDynamicConfigSectionTest.java,31,"Define a constant instead of duplicating this literal ""scope1"" 3 times.",CRITICAL,CODE_SMELL,OPEN
0134f3b8-d21c-4065-9842-1874f3a1416f,ditto:things/model/src/test/java/org/eclipse/ditto/things/model/devops/commands/ModifyWotValidationConfigTest.java,things/model/src/test/java/org/eclipse/ditto/things/model/devops/commands/ModifyWotValidationConfigTest.java,35,"Define a constant instead of duplicating this literal ""ns:test-id"" 4 times.",CRITICAL,CODE_SMELL,OPEN
